client_id,churned
C0001,0
C0002,0
C0003,0
C0004,0
C0005,1
C0006,1
C0007,1
C0008,0
C0009,0
C0010,0
C0011,1
C0012,0
C0013,0
C0014,1
C0015,1
C0016,1
C0017,0
C0018,0
C0019,0
C0020,0
C0021,0
C0022,1
C0023,0
C0024,0
C0025,0
C0026,0
C0027,1
C0028,0
C0029,0
C0030,1
C0031,0
C0032,1
C0033,1
C0034,0
C0035,0
C0036,0
C0037,0
C0038,1
C0039,0
C0040,0
C0041,1
C0042,0
C0043,1
C0044,0
C0045,1
C0046,0
C0047,0
C0048,0
C0049,0
C0050,1
C0051,0
C0052,0
C0053,0
C0054,0
C0055,0
C0056,0
C0057,1
C0058,1
C0059,1
C0060,0
C0061,0
C0062,1
C0063,0
C0064,0
C0065,0
C0066,0
C0067,1
C0068,0
C0069,1
C0070,0
C0071,0
C0072,1
C0073,1
C0074,0
C0075,0
C0076,0
C0077,0
C0078,1
C0079,0
C0080,1
C0081,0
C0082,0
C0083,0
C0084,1
C0085,0
C0086,0
C0087,0
C0088,0
C0089,0
C0090,0
C0091,1
C0092,0
C0093,0
C0094,0
C0095,0
C0096,0
C0097,0
C0098,0
C0099,1
C0100,1
C0101,1
C0102,0
C0103,0
C0104,0
C0105,0
C0106,1
C0107,0
C0108,0
C0109,1
C0110,1
C0111,0
C0112,1
C0113,0
C0114,0
C0115,0
C0116,0
C0117,0
C0118,1
C0119,0
C0120,0
C0121,0
C0122,0
C0123,0
C0124,1
C0125,1
C0126,0
C0127,0
C0128,0
C0129,1
C0130,0
C0131,0
C0132,1
C0133,1
C0134,0
C0135,0
C0136,0
C0137,0
C0138,0
C0139,0
C0140,0
C0141,0
C0142,1
C0143,0
C0144,0
C0145,0
C0146,1
C0147,0
C0148,0
C0149,1
C0150,1
C0151,0
C0152,1
C0153,1
C0154,0
C0155,0
C0156,1
C0157,0
C0158,0
C0159,1
C0160,0
C0161,0
C0162,0
C0163,0
C0164,0
C0165,1
C0166,0
C0167,0
C0168,1
C0169,1
C0170,0
C0171,0
C0172,1
C0173,0
C0174,1
C0175,0
C0176,1
C0177,0
C0178,0
C0179,0
C0180,1
C0181,0
C0182,1
C0183,0
C0184,0
C0185,1
C0186,0
C0187,0
C0188,0
C0189,0
C0190,1
C0191,1
C0192,0
C0193,0
C0194,0
C0195,0
C0196,0
C0197,0
C0198,0
C0199,0
C0200,0
C0201,0
C0202,1
C0203,1
C0204,0
C0205,0
C0206,1
C0207,1
C0208,0
C0209,1
C0210,1
C0211,0
C0212,0
C0213,0
C0214,1
C0215,0
C0216,1
C0217,0
C0218,0
C0219,0
C0220,0
C0221,0
C0222,0
C0223,1
C0224,0
C0225,1
C0226,1
C0227,0
C0228,0
C0229,0
C0230,0
C0231,0
C0232,0
C0233,0
C0234,0
C0235,1
C0236,0
C0237,0
C0238,1
C0239,0
C0240,1
C0241,0
C0242,0
C0243,0
C0244,0
C0245,1
C0246,0
C0247,0
C0248,0
C0249,0
C0250,0
C0251,0
C0252,0
C0253,0
C0254,0
C0255,1
C0256,0
C0257,0
C0258,0
C0259,0
C0260,1
C0261,0
C0262,0
C0263,1
C0264,0
C0265,0
C0266,0
C0267,0
C0268,0
C0269,0
C0270,0
C0271,0
C0272,0
C0273,0
C0274,0
C0275,0
C0276,0
C0277,0
C0278,0
C0279,0
C0280,0
C0281,0
C0282,0
C0283,0
C0284,1
C0285,0
C0286,1
C0287,0
C0288,0
C0289,0
C0290,0
C0291,1
C0292,1
C0293,0
C0294,0
C0295,1
C0296,0
C0297,0
C0298,1
C0299,0
C0300,1
