client_id,signup_date,plan_type,monthly_revenue,industry,region
C0001,2024-10-16,Basic,58.63,Healthcare,South
C0002,2023-05-23,Pro,232.97,Manufacturing,North
C0003,2024-08-27,Pro,181.47,Healthcare,South
C0004,2024-06-01,Pro,223.78,Logistics,West
C0005,2023-08-14,Pro,201.24,Retail,South
C0006,2024-03-08,Basic,47.15,Finance,North
C0007,2023-04-05,Basic,51.14,Finance,East
C0008,2023-02-14,Pro,221.78,EdTech,North
C0009,2024-07-19,Basic,56.42,Finance,South
C0010,2023-03-13,Basic,48.57,Finance,North
C0011,2023-08-27,Enterprise,1051.0,EdTech,East
C0012,2023-06-16,Basic,48.21,Finance,North
C0013,2024-09-15,Pro,221.62,Healthcare,South
C0014,2024-04-18,Basic,63.49,Logistics,South
C0015,2023-11-29,Enterprise,1209.19,Healthcare,North
C0016,2023-11-20,Pro,184.37,Manufacturing,East
C0017,2023-08-06,Pro,210.59,Logistics,West
C0018,2023-05-27,Basic,48.93,Manufacturing,East
C0019,2024-08-21,Pro,225.55,Finance,South
C0020,2023-05-22,Pro,186.34,Retail,North
C0021,2023-06-06,Pro,242.15,EdTech,North
C0022,2024-01-30,Basic,63.62,Manufacturing,East
C0023,2024-07-20,Enterprise,903.69,Logistics,North
C0024,2024-11-29,Enterprise,1199.15,Logistics,East
C0025,2023-04-25,Basic,47.2,Retail,East
C0026,2024-05-27,Pro,219.51,Retail,East
C0027,2024-10-16,Pro,194.93,Finance,South
C0028,2024-07-06,Enterprise,1267.7,Retail,East
C0029,2024-05-15,Basic,62.31,Finance,South
C0030,2023-03-01,Basic,55.22,Retail,North
C0031,2024-05-12,Enterprise,1289.9,Manufacturing,South
C0032,2023-05-12,Pro,254.47,Healthcare,East
C0033,2024-06-24,Enterprise,1068.19,Healthcare,South
C0034,2023-11-16,Basic,57.27,Finance,West
C0035,2024-06-13,Pro,198.83,Retail,East
C0036,2023-01-22,Pro,197.42,Healthcare,North
C0037,2023-03-14,Pro,183.79,Retail,North
C0038,2023-12-05,Basic,48.76,Logistics,West
C0039,2023-08-08,Pro,236.68,Manufacturing,West
C0040,2023-09-06,Pro,243.38,Healthcare,North
C0041,2023-04-10,Pro,207.3,EdTech,West
C0042,2023-02-25,Pro,257.44,Retail,North
C0043,2024-02-17,Pro,242.83,Retail,South
C0044,2023-07-16,Basic,52.89,EdTech,South
C0045,2023-10-13,Pro,248.71,Retail,West
C0046,2024-07-17,Basic,56.88,Manufacturing,North
C0047,2023-04-06,Enterprise,1238.24,Healthcare,West
C0048,2024-05-12,Pro,247.93,Retail,South
C0049,2024-01-24,Basic,51.75,EdTech,East
C0050,2024-03-09,Pro,237.25,Manufacturing,West
C0051,2023-06-08,Basic,48.37,Retail,North
C0052,2023-11-18,Basic,55.55,Manufacturing,South
C0053,2023-02-28,Enterprise,931.11,Healthcare,North
C0054,2024-09-01,Basic,60.99,EdTech,North
C0055,2024-08-06,Basic,55.75,Manufacturing,North
C0056,2024-03-05,Pro,224.09,Finance,East
C0057,2023-07-29,Pro,204.11,Finance,West
C0058,2023-05-15,Pro,202.98,Finance,North
C0059,2023-01-10,Pro,258.58,Retail,North
C0060,2024-07-04,Basic,49.3,Finance,North
C0061,2023-09-08,Basic,47.19,Manufacturing,East
C0062,2024-09-18,Enterprise,1221.62,Manufacturing,North
C0063,2024-11-14,Enterprise,1018.73,Logistics,North
C0064,2023-05-18,Basic,61.54,Logistics,South
C0065,2023-10-06,Basic,48.23,Finance,South
C0066,2024-10-11,Enterprise,1101.06,Finance,North
C0067,2023-04-05,Pro,245.12,Retail,North
C0068,2023-12-08,Pro,229.81,Finance,South
C0069,2024-03-28,Pro,213.14,Retail,North
C0070,2023-03-19,Enterprise,1175.23,Healthcare,North
C0071,2024-01-14,Pro,190.89,Healthcare,North
C0072,2023-11-12,Basic,62.39,Retail,East
C0073,2023-08-04,Pro,232.19,Finance,West
C0074,2024-09-27,Pro,252.79,Healthcare,South
C0075,2023-07-01,Enterprise,909.0,Logistics,East
C0076,2024-02-26,Enterprise,1244.38,Healthcare,East
C0077,2023-06-13,Pro,187.7,Retail,West
C0078,2023-08-16,Basic,62.1,Finance,East
C0079,2023-08-22,Basic,57.04,EdTech,East
C0080,2023-10-13,Enterprise,1285.47,Finance,East
C0081,2024-10-18,Pro,233.19,Manufacturing,East
C0082,2023-01-29,Basic,63.12,Healthcare,East
C0083,2023-02-09,Basic,52.62,Logistics,East
C0084,2024-03-22,Pro,219.81,EdTech,South
C0085,2023-09-18,Basic,52.65,Manufacturing,South
C0086,2024-01-08,Pro,254.63,Finance,East
C0087,2024-11-10,Enterprise,1186.71,Finance,East
C0088,2024-11-13,Pro,211.13,Finance,South
C0089,2023-07-16,Pro,253.95,Logistics,South
C0090,2024-09-22,Pro,211.42,Retail,East
C0091,2023-10-21,Basic,59.5,Manufacturing,East
C0092,2024-04-21,Pro,232.88,Manufacturing,West
C0093,2023-06-23,Pro,201.69,Logistics,East
C0094,2023-04-06,Enterprise,1199.25,Logistics,East
C0095,2023-08-19,Enterprise,957.98,Retail,South
C0096,2024-05-01,Pro,240.27,EdTech,West
C0097,2024-10-06,Pro,236.28,EdTech,West
C0098,2024-02-14,Basic,56.96,Retail,North
C0099,2024-03-11,Basic,59.86,Logistics,West
C0100,2023-02-21,Pro,252.13,Retail,West
C0101,2023-05-17,Enterprise,1165.86,Manufacturing,East
C0102,2024-03-29,Pro,236.35,Manufacturing,West
C0103,2024-07-15,Pro,191.77,EdTech,West
C0104,2023-09-23,Pro,245.95,Finance,West
C0105,2024-10-03,Basic,52.72,Logistics,East
C0106,2023-08-29,Basic,50.37,Manufacturing,North
C0107,2023-05-22,Basic,51.61,Healthcare,South
C0108,2023-03-07,Pro,205.44,EdTech,West
C0109,2023-03-05,Basic,52.33,Manufacturing,North
C0110,2024-08-12,Basic,44.22,Finance,East
C0111,2024-02-04,Enterprise,1280.09,EdTech,South
C0112,2024-05-14,Basic,52.64,Retail,West
C0113,2023-12-11,Pro,242.63,Logistics,South
C0114,2024-04-23,Enterprise,1291.0,Manufacturing,North
C0115,2024-02-08,Pro,231.87,Retail,West
C0116,2023-05-19,Enterprise,971.72,Finance,West
C0117,2023-12-02,Basic,50.51,EdTech,East
C0118,2024-03-07,Basic,45.71,Retail,North
C0119,2023-12-25,Basic,45.44,Logistics,North
C0120,2023-02-01,Enterprise,978.76,Retail,South
C0121,2023-09-02,Basic,57.22,Manufacturing,South
C0122,2024-04-21,Pro,240.15,Healthcare,North
C0123,2023-06-17,Enterprise,942.3,Retail,East
C0124,2024-08-12,Pro,255.37,EdTech,South
C0125,2023-03-19,Pro,245.21,Healthcare,North
C0126,2023-11-05,Enterprise,1139.02,Retail,North
C0127,2023-12-22,Pro,231.76,Retail,East
C0128,2023-01-13,Enterprise,1227.7,Retail,West
C0129,2024-01-06,Pro,245.07,Logistics,South
C0130,2024-03-21,Basic,54.33,Logistics,East
C0131,2024-09-22,Enterprise,1114.15,EdTech,West
C0132,2024-03-22,Enterprise,1135.85,Finance,South
C0133,2023-03-30,Basic,52.94,EdTech,West
C0134,2023-12-11,Basic,60.78,Healthcare,West
C0135,2023-08-06,Basic,49.16,Finance,East
C0136,2024-07-23,Basic,62.68,Retail,South
C0137,2024-02-21,Pro,239.45,Logistics,West
C0138,2024-10-23,Pro,214.77,Retail,North
C0139,2023-10-29,Basic,57.66,Finance,East
C0140,2024-04-29,Pro,206.46,Logistics,East
C0141,2023-12-27,Pro,200.66,Finance,South
C0142,2023-05-04,Pro,204.22,Logistics,South
C0143,2023-07-16,Basic,53.59,Logistics,East
C0144,2023-04-13,Enterprise,1017.48,Finance,South
C0145,2023-11-06,Basic,54.57,Finance,North
C0146,2023-02-25,Pro,234.61,Healthcare,West
C0147,2023-04-16,Enterprise,1128.5,EdTech,West
C0148,2024-03-27,Basic,63.02,Finance,West
C0149,2023-04-27,Enterprise,1059.22,Retail,North
C0150,2023-06-05,Basic,55.13,Finance,North
C0151,2023-09-12,Basic,59.08,Manufacturing,South
C0152,2024-06-19,Basic,61.91,Finance,West
C0153,2023-11-09,Pro,183.89,Logistics,North
C0154,2023-08-01,Pro,200.17,Retail,South
C0155,2023-09-03,Basic,45.57,Retail,West
C0156,2024-04-06,Pro,216.51,Retail,South
C0157,2023-10-23,Pro,235.06,EdTech,North
C0158,2023-08-28,Enterprise,1213.92,Logistics,South
C0159,2024-03-11,Basic,48.51,Healthcare,East
C0160,2023-05-26,Basic,47.35,Finance,East
C0161,2024-03-25,Basic,57.6,Logistics,West
C0162,2023-10-06,Pro,218.41,Retail,North
C0163,2024-03-18,Pro,227.16,Retail,North
C0164,2023-08-23,Enterprise,1233.15,Manufacturing,North
C0165,2024-11-19,Enterprise,1129.37,Healthcare,West
C0166,2024-06-15,Pro,252.02,Healthcare,West
C0167,2024-10-12,Enterprise,1286.33,EdTech,East
