client_id,month,logins,feature_usage_score,support_tickets
C0001,2026-01-01,25,0.807,1
C0001,2026-02-01,23,0.718,2
C0001,2026-03-01,22,0.684,3
C0001,2026-04-01,15,0.496,2
C0001,2026-05-01,11,0.364,3
C0001,2026-06-01,7,0.241,3
C0002,2026-01-01,45,0.398,1
C0002,2026-02-01,51,0.452,2
C0002,2026-03-01,42,0.373,0
C0002,2026-04-01,46,0.403,0
C0002,2026-05-01,43,0.376,1
C0002,2026-06-01,52,0.461,0
C0003,2026-01-01,48,0.724,3
C0003,2026-02-01,45,0.671,1
C0003,2026-03-01,36,0.548,0
C0003,2026-04-01,31,0.466,2
C0003,2026-05-01,19,0.296,4
C0003,2026-06-01,13,0.198,0
C0004,2026-01-01,35,0.842,3
C0004,2026-02-01,25,0.607,2
C0004,2026-03-01,21,0.501,3
C0004,2026-04-01,20,0.487,0
C0004,2026-05-01,14,0.337,2
C0004,2026-06-01,9,0.218,2
C0005,2026-01-01,30,0.662,2
C0005,2026-02-01,26,0.568,2
C0005,2026-03-01,18,0.404,4
C0005,2026-04-01,13,0.3,2
C0005,2026-05-01,10,0.225,3
C0005,2026-06-01,6,0.147,1
C0006,2026-01-01,27,0.882,4
C0006,2026-02-01,18,0.613,4
C0006,2026-03-01,16,0.523,1
C0006,2026-04-01,14,0.463,3
C0006,2026-05-01,11,0.36,3
C0006,2026-06-01,6,0.205,4
C0007,2026-01-01,21,0.759,4
C0007,2026-02-01,15,0.57,3
C0007,2026-03-01,12,0.463,1
C0007,2026-04-01,10,0.373,6
C0007,2026-05-01,8,0.298,3
C0007,2026-06-01,5,0.19,2
C0008,2026-01-01,47,0.501,0
C0008,2026-02-01,45,0.488,1
C0008,2026-03-01,46,0.497,1
C0008,2026-04-01,47,0.503,0
C0008,2026-05-01,40,0.434,1
C0008,2026-06-01,40,0.432,0
C0009,2026-01-01,43,0.595,2
C0009,2026-02-01,36,0.498,0
C0009,2026-03-01,32,0.445,0
C0009,2026-04-01,42,0.585,1
C0009,2026-05-01,41,0.571,2
C0009,2026-06-01,39,0.541,2
C0010,2026-01-01,22,0.439,1
C0010,2026-02-01,26,0.515,1
C0010,2026-03-01,25,0.496,3
C0010,2026-04-01,21,0.418,0
C0010,2026-05-01,25,0.498,1
C0010,2026-06-01,23,0.462,0
C0011,2026-01-01,12,0.73,2
C0011,2026-02-01,11,0.663,1
C0011,2026-03-01,9,0.534,0
C0011,2026-04-01,9,0.531,4
C0011,2026-05-01,6,0.352,2
C0011,2026-06-01,3,0.208,5
C0012,2026-01-01,29,0.46,1
C0012,2026-02-01,30,0.478,2
C0012,2026-03-01,34,0.54,1
C0012,2026-04-01,34,0.538,0
C0012,2026-05-01,28,0.451,0
C0012,2026-06-01,36,0.571,0
C0013,2026-01-01,39,0.597,1
C0013,2026-02-01,46,0.702,0
C0013,2026-03-01,42,0.644,4
C0013,2026-04-01,41,0.624,0
C0013,2026-05-01,45,0.684,2
C0013,2026-06-01,47,0.722,1
C0014,2026-01-01,27,0.621,2
C0014,2026-02-01,26,0.612,1
C0014,2026-03-01,21,0.483,2
C0014,2026-04-01,15,0.361,6
C0014,2026-05-01,13,0.311,2
C0014,2026-06-01,7,0.174,2
C0015,2026-01-01,45,0.655,2
C0015,2026-02-01,39,0.57,5
C0015,2026-03-01,34,0.493,4
C0015,2026-04-01,29,0.426,8
C0015,2026-05-01,17,0.251,3
C0015,2026-06-01,10,0.145,2
C0016,2026-01-01,20,0.612,3
C0016,2026-02-01,16,0.505,1
C0016,2026-03-01,14,0.433,4
C0016,2026-04-01,11,0.337,3
C0016,2026-05-01,7,0.217,5
C0016,2026-06-01,4,0.124,2
C0017,2026-01-01,51,0.594,0
C0017,2026-02-01,45,0.532,2
C0017,2026-03-01,36,0.421,3
C0017,2026-04-01,30,0.358,4
C0017,2026-05-01,19,0.226,1
C0017,2026-06-01,11,0.129,0
C0018,2026-01-01,24,0.467,0
C0018,2026-02-01,22,0.426,1
C0018,2026-03-01,21,0.405,1
C0018,2026-04-01,19,0.372,0
C0018,2026-05-01,20,0.393,1
C0018,2026-06-01,19,0.372,1
C0019,2026-01-01,38,0.754,2
C0019,2026-02-01,34,0.666,0
C0019,2026-03-01,31,0.609,1
C0019,2026-04-01,36,0.708,0
C0019,2026-05-01,30,0.597,1
C0019,2026-06-01,32,0.629,0
C0020,2026-01-01,17,0.791,1
C0020,2026-02-01,15,0.739,1
C0020,2026-03-01,17,0.8,0
C0020,2026-04-01,20,0.93,1
C0020,2026-05-01,19,0.894,1
C0020,2026-06-01,20,0.932,0
C0021,2026-01-01,35,0.516,0
C0021,2026-02-01,35,0.512,5
C0021,2026-03-01,26,0.383,6
C0021,2026-04-01,23,0.341,0
C0021,2026-05-01,14,0.212,4
C0021,2026-06-01,8,0.125,2
C0022,2026-01-01,43,0.453,2
C0022,2026-02-01,39,0.41,3
C0022,2026-03-01,29,0.312,1
C0022,2026-04-01,21,0.229,0
C0022,2026-05-01,14,0.154,3
C0022,2026-06-01,11,0.115,3
C0023,2026-01-01,36,0.664,1
C0023,2026-02-01,30,0.561,0
